url,titre,description,prix_numeric,couleurs,matières,type,image,dominant_colors_array,color_names,dominant_colors,flattened_colors
https://www.miumiu.com/fr/fr/p/cardigan-en-cachemire-et-soie-a-maille-torsadee/MMF950_16OO_F0008_S_OOO,Cardigan En Cachemire Et Soie À Maille Torsadée Bleu | Miu Miu,"Ce cardigan en cachemire et soie affiche un motif en maille torsadée, créant un effet de relief grâce à son fil compact, qui souligne sa coupe ajustée et sa féminité empreinte de simplicité. ",2000.0,['bleu'],"['soie', 'cachemire']",Cardigan,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMF/MMF950/16OOF0008/MMF950_16OO_F0008_S_OOO_SLF.jpg,,"['bleu', 'gainsboro', 'darkslategray', 'gray', 'dimgray']","[[231 227 218]
 [ 70  70  81]
 [120 119 124]
 [ 95  95 103]]","[231, 227, 218, 70, 70, 81, 120, 119, 124, 95, 95, 103, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/polo-en-pique-et-popeline/MJN555_15WD_F0008_S_OOO,Polo En Piqué Et Popeline Bleu | Miu Miu,Le polo classique en piqué est revisité selon les codes de l’uniforme Miu Miu. Les détails en popeline à carreaux sur le col et les manches jouent avec des superpositions audacieuses et iconiques. ,890.0,"['bleu', 'lin']",['lin'],Polo,https://www.miumiu.com/content/dam/miumiubkg_products/M/MJN/MJN555/15WDF0008/MJN555_15WD_F0008_S_OOO_SLF.jpg,,"['bleu', 'lin', 'black', 'lightslategray', 'dimgray', 'lightsteelblue', 'gray']","[[ 18  18  27]
 [133 153 179]
 [ 84  84  89]
 [155 179 205]
 [149 138 124]]","[18, 18, 27, 133, 153, 179, 84, 84, 89, 155, 179, 205, 149, 138, 124]"
https://www.miumiu.com/fr/fr/p/pantalon-en-batavia/MP1857_11AD_F0008_S_OOO,Pantalon En Batavia Bleu | Miu Miu,"L’essence classique du tissu batavia prend un air contemporain sur ce pantalon aux lignes décontractées, agrémenté du cordon de serrage bicolore iconique, élément casual et distinctif du style Miu Miu. ",1250.0,['bleu'],['batavia'],Pantalon,https://www.miumiu.com/content/dam/miumiubkg_products/M/MP1/MP1857/11ADF0008/MP1857_11AD_F0008_S_OOO_SLF.jpg,,"['bleu', 'black', 'gray', 'darkslategray', 'maroon']","[[ 13  15  24]
 [124 118 116]
 [ 78  73  73]
 [ 71  24  34]]","[13, 15, 24, 124, 118, 116, 78, 73, 73, 71, 24, 34, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/mocassins-ruches-en-cuir-nappa/5D341E_EFX_F0009_F_005,Mocassins Ruches En Cuir Nappa Blanc | Miu Miu,"Ces élégants mocassins en cuir nappa affichent des lignes légères et polyvalentes, empreintes de références vintage. Le logo doré estampé vient sublimer ce modèle, qui s’intègre aussi bien à des looks plus décontractés. ",800.0,"['blanc', 'doré']",['cuir'],Mocassins,https://www.miumiu.com/content/dam/miumiubkg_products/5/5D3/5D341E/EFXF0009/5D341E_EFX_F0009_F_005_SLR.jpg,,"['blanc', 'doré', 'gainsboro', 'dimgray', 'dimgray', 'darkslategray']","[[231 227 219]
 [100  93  83]
 [124 117 105]
 [ 53  49  42]]","[231, 227, 219, 100, 93, 83, 124, 117, 105, 53, 49, 42, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/veste-a-capuche-zippee-en-cachemire/MMF944_13S1_F0005_S_OOO,Veste À Capuche Zippée En Cachemire Tabac | Miu Miu,"Parmi d’autres vêtements classiques au style Miu Miu emblématique, le sweat à capuche zippé est réinterprété dans une version en cachemire jauge 12 qui lui confère une polyvalence contemporaine et une élégance décontractée. ",2750.0,"['tabac', 'blé', 'tabac']",['cachemire'],Veste,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMF/MMF944/13S1F0005/MMF944_13S1_F0005_S_OOO_SLF.jpg,,"['tabac', 'blé', 'tabac', 'saddlebrown', 'gray', 'black', 'sienna', 'gray']","[[ 92  47  28]
 [141 115 100]
 [ 56  23   8]
 [126  90  69]
 [153 144 134]]","[92, 47, 28, 141, 115, 100, 56, 23, 8, 126, 90, 69, 153, 144, 134]"
https://www.miumiu.com/fr/fr/p/t-shirt-a-manches-longues-en-jersey-cotele/MJL068_159K_F04EF_S_OOO,T-shirt À Manches Longues En Jersey Côtelé Cannelle/ébène | Miu Miu,"Ce t-shirt en jersey côtelé affiche des lignes douces et des jeux de transparence subtils, caractéristiques de l’approche expérimentale de Miu Miu. ",820.0,"['cannelle', 'ébène', 'cannelle']",['jersey'],T-shirt,https://www.miumiu.com/content/dam/miumiubkg_products/M/MJL/MJL068/159KF04EF/MJL068_159K_F04EF_S_OOO_SLF.jpg,,"['cannelle', 'ébène', 'cannelle', 'saddlebrown', 'darkslategray', 'dimgray', 'gray', 'black']","[[ 96  59  41]
 [ 58  35  32]
 [123 104  98]
 [148 134 127]
 [ 21  10   9]]","[96, 59, 41, 58, 35, 32, 123, 104, 98, 148, 134, 127, 21, 10, 9]"
https://www.miumiu.com/fr/fr/p/top-court-chine-sans-coutures-a-dos-nageur/RG9475_16Q6_F0684_S_232,Top Court Chiné Sans Coutures À Dos Nageur Gris | Miu Miu,"Confectionné en tissu sans coutures, ce haut court à dos nageur présente une coupe pratique, idéale pour les superpositions. L’effet chiné du fil et le logo jacquard lui confèrent une allure polyvalente et moderne. ",360.0,['gris'],['coton'],Top,https://www.miumiu.com/content/dam/miumiubkg_products/R/RG9/RG9475/16Q6F0684/RG9475_16Q6_F0684_S_232_SLF.jpg,,"['gris', 'gray', 'dimgray']","[[153 147 142]
 [104  98  92]]","[153, 147, 142, 104, 98, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/boxer-en-maille-chinee-sans-coutures/SP9411_16Q6_F0684_S_232,Boxer En Maille Chinée Sans Coutures Gris | Miu Miu,Ce boxer en maille sans coutures présente une coupe pratique. L’effet chiné du fil et le logo jacquard lui confèrent une allure polyvalente et moderne. ,260.0,['gris'],['coton'],Boxer,https://www.miumiu.com/content/dam/miumiubkg_products/S/SP9/SP9411/16Q6F0684/SP9411_16Q6_F0684_S_232_SLF.jpg,,"['gris', 'darkgray', 'gray']","[[154 151 146]
 [128 124 123]]","[154, 151, 146, 128, 124, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/sweat-shirt-a-capuche-zippe-en-coton-molletonne/MJL073_16JZ_F0008_S_OOO,Sweat-shirt À Capuche Zippé En Coton Molletonné Bleu | Miu Miu,"Ce sweat-shirt zippé à capuche classique en coton molletonné est agrémenté d’empiècements en tissu technique, comme les poches et la capuche, et agrémenté d’un scoubidou Miu Miu iconique. ",1700.0,['bleu'],['coton'],Sweat-shirt,https://www.miumiu.com/content/dam/miumiubkg_products/M/MJL/MJL073/16JZF0008/MJL073_16JZ_F0008_S_OOO_SLF.jpg,,"['bleu', 'darkslategray', 'black', 'dimgray', 'gray', 'dimgray']","[[ 47  49  64]
 [ 19  23  35]
 [116 113 112]
 [143 140 135]
 [ 90  88  91]]","[47, 49, 64, 19, 23, 35, 116, 113, 112, 143, 140, 135, 90, 88, 91]"
https://www.miumiu.com/fr/fr/p/haut-chine-sans-coutures/TP9160_16Q6_F0684_S_OOO,Haut Chiné Sans Coutures Gris | Miu Miu,"Ce top en maille sans coutures se distingue par sa coupe pratique, parfaite pour les looks superposés. L’effet chiné du fil et le logo jacquard lui confèrent une allure polyvalente et moderne. ",390.0,['gris'],['coton'],Haut,https://www.miumiu.com/content/dam/miumiubkg_products/T/TP9/TP9160/16Q6F0684/TP9160_16Q6_F0684_S_OOO_SLF.jpg,,"['gris', 'gray', 'dimgray']","[[131 127 123]
 [103 100  96]]","[131, 127, 123, 103, 100, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
