url,titre,description,prix_numeric,couleurs,matières,type,image
https://www.miumiu.com/fr/fr/p/cardigan-en-cachemire-et-soie-a-maille-torsadee/MMF950_16OO_F0008_S_OOO,Cardigan En Cachemire Et Soie À Maille Torsadée Bleu | Miu Miu,"Ce cardigan en cachemire et soie affiche un motif en maille torsadée, créant un effet de relief grâce à son fil compact, qui souligne sa coupe ajustée et sa féminité empreinte de simplicité. ",2000.0,['bleu'],"['soie', 'cachemire']",Cardigan,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMF/MMF950/16OOF0008/MMF950_16OO_F0008_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/polo-en-pique-et-popeline/MJN555_15WD_F0008_S_OOO,Polo En Piqué Et Popeline Bleu | Miu Miu,Le polo classique en piqué est revisité selon les codes de l’uniforme Miu Miu. Les détails en popeline à carreaux sur le col et les manches jouent avec des superpositions audacieuses et iconiques. ,890.0,"['bleu', 'lin']",['lin'],Polo,https://www.miumiu.com/content/dam/miumiubkg_products/M/MJN/MJN555/15WDF0008/MJN555_15WD_F0008_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/pantalon-en-batavia/MP1857_11AD_F0008_S_OOO,Pantalon En Batavia Bleu | Miu Miu,"L’essence classique du tissu batavia prend un air contemporain sur ce pantalon aux lignes décontractées, agrémenté du cordon de serrage bicolore iconique, élément casual et distinctif du style Miu Miu. ",1250.0,['bleu'],['batavia'],Pantalon,https://www.miumiu.com/content/dam/miumiubkg_products/M/MP1/MP1857/11ADF0008/MP1857_11AD_F0008_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/mocassins-ruches-en-cuir-nappa/5D341E_EFX_F0009_F_005,Mocassins Ruches En Cuir Nappa Blanc | Miu Miu,"Ces élégants mocassins en cuir nappa affichent des lignes légères et polyvalentes, empreintes de références vintage. Le logo doré estampé vient sublimer ce modèle, qui s’intègre aussi bien à des looks plus décontractés. ",800.0,"['blanc', 'doré']",['cuir'],Mocassins,https://www.miumiu.com/content/dam/miumiubkg_products/5/5D3/5D341E/EFXF0009/5D341E_EFX_F0009_F_005_SLR.jpg
https://www.miumiu.com/fr/fr/p/veste-a-capuche-zippee-en-cachemire/MMF944_13S1_F0005_S_OOO,Veste À Capuche Zippée En Cachemire Tabac | Miu Miu,"Parmi d’autres vêtements classiques au style Miu Miu emblématique, le sweat à capuche zippé est réinterprété dans une version en cachemire jauge 12 qui lui confère une polyvalence contemporaine et une élégance décontractée. ",2750.0,"['tabac', 'blé', 'tabac']",['cachemire'],Veste,https://www.miumiu.com/content/dam/miumiubkg_products/M/MMF/MMF944/13S1F0005/MMF944_13S1_F0005_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/t-shirt-a-manches-longues-en-jersey-cotele/MJL068_159K_F04EF_S_OOO,T-shirt À Manches Longues En Jersey Côtelé Cannelle/ébène | Miu Miu,"Ce t-shirt en jersey côtelé affiche des lignes douces et des jeux de transparence subtils, caractéristiques de l’approche expérimentale de Miu Miu. ",820.0,"['cannelle', 'ébène', 'cannelle']",['jersey'],T-shirt,https://www.miumiu.com/content/dam/miumiubkg_products/M/MJL/MJL068/159KF04EF/MJL068_159K_F04EF_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/top-court-chine-sans-coutures-a-dos-nageur/RG9475_16Q6_F0684_S_232,Top Court Chiné Sans Coutures À Dos Nageur Gris | Miu Miu,"Confectionné en tissu sans coutures, ce haut court à dos nageur présente une coupe pratique, idéale pour les superpositions. L’effet chiné du fil et le logo jacquard lui confèrent une allure polyvalente et moderne. ",360.0,['gris'],['coton'],Top,https://www.miumiu.com/content/dam/miumiubkg_products/R/RG9/RG9475/16Q6F0684/RG9475_16Q6_F0684_S_232_SLF.jpg
https://www.miumiu.com/fr/fr/p/boxer-en-maille-chinee-sans-coutures/SP9411_16Q6_F0684_S_232,Boxer En Maille Chinée Sans Coutures Gris | Miu Miu,Ce boxer en maille sans coutures présente une coupe pratique. L’effet chiné du fil et le logo jacquard lui confèrent une allure polyvalente et moderne. ,260.0,['gris'],['coton'],Boxer,https://www.miumiu.com/content/dam/miumiubkg_products/S/SP9/SP9411/16Q6F0684/SP9411_16Q6_F0684_S_232_SLF.jpg
https://www.miumiu.com/fr/fr/p/sweat-shirt-a-capuche-zippe-en-coton-molletonne/MJL073_16JZ_F0008_S_OOO,Sweat-shirt À Capuche Zippé En Coton Molletonné Bleu | Miu Miu,"Ce sweat-shirt zippé à capuche classique en coton molletonné est agrémenté d’empiècements en tissu technique, comme les poches et la capuche, et agrémenté d’un scoubidou Miu Miu iconique. ",1700.0,['bleu'],['coton'],Sweat-shirt,https://www.miumiu.com/content/dam/miumiubkg_products/M/MJL/MJL073/16JZF0008/MJL073_16JZ_F0008_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/haut-chine-sans-coutures/TP9160_16Q6_F0684_S_OOO,Haut Chiné Sans Coutures Gris | Miu Miu,"Ce top en maille sans coutures se distingue par sa coupe pratique, parfaite pour les looks superposés. L’effet chiné du fil et le logo jacquard lui confèrent une allure polyvalente et moderne. ",390.0,['gris'],['coton'],Haut,https://www.miumiu.com/content/dam/miumiubkg_products/T/TP9/TP9160/16Q6F0684/TP9160_16Q6_F0684_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/jupe-courte-plissee-en-batavia/MG2388_11AD_F0008_S_OOO,Jupe Courte Plissée En Batavia Bleu | Miu Miu,"Cette jupe courte associe un boxer en popeline à carreaux à du tissu batavia, mettant en valeur ses lignes plissées et jouant avec la juxtaposition d’éléments masculins et féminins, caractéristique du style Miu Miu. ",1300.0,"['bleu', 'lin']","['lin', 'batavia']",Jupe,https://www.miumiu.com/content/dam/miumiubkg_products/M/MG2/MG2388/11ADF0008/MG2388_11AD_F0008_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/lunettes-de-soleil-miu-regard/SMUA06_E14L_FE09Z_C_054,Lunettes De Soleil Miu Regard Verres Gris-vert | Miu Miu,Les lunettes de soleil Miu Regard sont réinterprétées dans une nouvelle version classique sophistiquée. La monture associe des verres rectangulaires étroits à un cerclage fin qui accentue sa grande légèreté. Les branches sont agrémentées de l’élégant logo Miu Miu vertical. ,370.0,"['vert', 'gris']",['coton'],Lunettes,https://www.miumiu.com/content/dam/miumiubkg_products/S/SMU/SMUA06/E14LFE09Z/SMUA06_E14L_FE09Z_C_054_SLF.jpg
https://www.miumiu.com/fr/fr/p/lunettes-de-soleil-miu-miu-logo/SMUA04_E16K_FE08Z_C_054,Lunettes De Soleil Miu Miu Logo Verres Gris Ardoise | Miu Miu,Des lunettes de soleil papillon en acétate. Elles associent une monture oversize affichant une féminité contemporaine à des branches droites agrémentées du logo Miu Miu vertical iconique. ,350.0,"['vert', 'gris']",['coton'],Lunettes,https://www.miumiu.com/content/dam/miumiubkg_products/S/SMU/SMUA04/E16KFE08Z/SMUA04_E16K_FE08Z_C_054_SLF.jpg
https://www.miumiu.com/fr/fr/p/t-shirt-a-manches-longues-en-jersey-de-coton/MJL014_14RT_F0RTX_S_OOO,T-shirt À Manches Longues En Jersey De Coton Amarante/jaune | Miu Miu,"Le logo Miu Miu se démarque sur la silhouette simple et oversize de ce t-shirt, apportant une touche iconique et distinctive au vêtement. ",770.0,"['jaune', 'amarante']","['coton', 'jersey']",T-shirt,https://www.miumiu.com/content/dam/miumiubkg_products/M/MJL/MJL014/14RTF0RTX/MJL014_14RT_F0RTX_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/jean-en-denim/GWP483_16T8_F0008_S_OOO,Jean En Denim Bleu | Miu Miu,Miu Miu expérimente autour du prêt-à-porter masculin avec ce jean à la coupe décontractée en denim semi-épais au délavage bleu classique et aux coutures contrastantes. ,950.0,"['bleu', 'lin']","['denim', 'lin']",Jean,https://www.miumiu.com/content/dam/miumiubkg_products/G/GWP/GWP483/16T8F0008/GWP483_16T8_F0008_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/sac-ivy-en-cuir/5BG231_2CRW_F0002_V_MLN,Sac Ivy En Cuir Noir | Miu Miu,"Le sac IVY en cuir présente un style classique, agrémenté de détails en métal et du logo lettres Miu Miu, qui apporte une touche iconique, immédiatement reconnaissable.",1700.0,"['noir', 'sable']",['cuir'],Sac,https://www.miumiu.com/content/dam/miumiubkg_products/5/5BG/5BG231/2CRWF0002/5BG231_2CRW_F0002_V_MLN_SLF.jpg
https://www.miumiu.com/fr/fr/p/veste-en-satin-de-coton-teinte-en-piece/MH1977_16MS_F0393_S_OOO,Veste En Satin De Coton Teinte En Pièce Vert Olive | Miu Miu,"Confectionnée en satin de coton, cette veste teinte en pièce est agrémentée de boutons dorés originaux et du logo brodé sur le devant, qui reflètent l’esprit expérimental et vintage de Miu Miu. ",2350.0,"['vert', 'doré', 'dorés', 'olive']","['coton', 'satin']",Veste,https://www.miumiu.com/content/dam/miumiubkg_products/M/MH1/MH1977/16MSF0393/MH1977_16MS_F0393_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/short-en-satin-de-coton-teint-en-piece/MP1853_16MS_F0393_S_OOO,Short En Satin De Coton Teint En Pièce Vert Olive | Miu Miu,Ce short en satin de coton simple et polyvalent s’inspire de la garde-robe masculine. Les poches latérales et la ceinture à logo sont des éléments distinctifs qui incarnent l’esprit vintage de Miu Miu.,1400.0,"['vert', 'lin', 'olive']","['coton', 'lin', 'satin']",Short,https://www.miumiu.com/content/dam/miumiubkg_products/M/MP1/MP1853/16MSF0393/MP1853_16MS_F0393_S_OOO_SLF.jpg
https://www.miumiu.com/fr/fr/p/chaussettes-en-maille-cotelee/MCZ491_16JW_F0399_S_OOO,Chaussettes En Maille Côtelée Rouge Amarante/jaune Maïs | Miu Miu,"L’esprit vintage et iconique de Miu Miu transparaît dans la maille côtelée et le logo brodé de ces chaussettes en coton, parfaites pour compléter des looks polyvalents et uniques. ",350.0,"['rouge', 'jaune', 'amarante', 'maïs']",['coton'],Chaussettes,https://www.miumiu.com/content/dam/miumiubkg_products/M/MCZ/MCZ491/16JWF0399/MCZ491_16JW_F0399_S_OOO_SLF.jpg
